"record_code","format_version","submission_date","reporting_agency","release_agency","coordinator","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"T",4.2,20140221,"USFWS","USFWS",7,"53675",12,NA,NA,NA,NA,1,7,2007,20080118,20080118,"6FCSASBF RYDE","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",30.44,129,"N",5000,11346,NA,NA,5000,115,NA,NA,"C",0.01,88,200,"","Resubmited2.21.14Delta Study release group #2","SAC R AT RYDE KOKET","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",11346,0,115,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53676",12,NA,NA,NA,NA,1,7,2007,20080118,20080118,"6FCSASBF RYDE","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",30.24,126,"N",5000,12188,NA,NA,5000,641,NA,NA,"C",0.05,88,200,"","Resubmited2.21.14Delta Study release group #2","SAC R AT RYDE KOKET","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",12188,0,641,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53677",12,NA,NA,NA,NA,1,7,2007,20080122,20080122,"6FCSUUSC PCHI","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",22.68,128,"N",5000,11859,NA,NA,5000,242,NA,NA,"C",0.02,93,200,"","Resubmited2.21.14Delta Study release group #2","PORT CHICAGO","COLEMAN NFH","COLEMAN NFH","CA","CECA","SFBA","N",11859,0,242,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53683",12,NA,NA,NA,NA,1,7,2007,20080117,20080117,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",34.36,134,"N",5000,17117,NA,NA,5000,173,NA,NA,"C",0.01,81,200,"","Resubmited2.21.14Delta Study release group #2","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",17117,0,173,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53684",12,NA,NA,NA,NA,1,7,2007,20080117,20080117,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",34.36,132,"N",5000,16633,NA,NA,5000,693,NA,NA,"C",0.04,80,200,"","Resubmited2.21.14Delta Study release group #2","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",16633,0,693,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53685",12,NA,NA,NA,NA,1,7,2007,20071206,20071206,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",22.68,117,"N",5000,17631,0,91,5000,454,NA,NA,"C",0.025,40,200,"","Resubmited2.21.14Delta Study release group #1","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",17631,91,454,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53686",12,NA,NA,NA,NA,1,7,2007,20071206,20071206,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",22.68,126,"N",5000,17396,0,88,5000,177,NA,NA,"C",0.01,37,200,"","Resubmited2.21.14Delta Study release group #1","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",17396,88,177,0,0
"T",4.2,20140221,"USFWS","USFWS",7,"53687",12,NA,NA,NA,NA,1,7,2007,20071206,20071206,"6FCSJMOK GESL","6FCSABAT CNFH","6FCSABAT CNFH","S","H","B","FR",22.68,125,"N",5000,17932,0,91,5000,274,NA,NA,"C",0.015,36,200,"","Resubmited2.21.14Delta Study release group #1","MOK R GEORGIANNA SLOUGH","COLEMAN NFH","COLEMAN NFH","CA","SJOA","MOKE","N",17932,91,274,0,0
"T",4.2,20090310,"USFWS","USFWS",7,"53989",12,NA,NA,NA,NA,1,7,2007,20080102,20080102,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",27,129,"N",5000,80618,0,2559,5000,1706,0,427,"C",0.025,103,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",80618,2559,1706,427,0
"T",4.2,20090310,"USFWS","USFWS",7,"53992",12,NA,NA,NA,NA,1,7,2007,20080102,20080102,"6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","P","FR",36,134,"N",5000,87248,NA,NA,5000,1329,NA,NA,"C",0.015,96,200,"","Production","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","N",87248,0,1329,0,0
